rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
1,1,Gemini-2.5-Pro,1466,+4/-4,35586,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro
2,2,Grok-4-0709,1430,+5/-5,18320,xAI,Proprietary,not specified,https://docs.x.ai/docs/models/grok-4-0709
3,2,ChatGPT-4o-latest (2025-03-26),1429,+4/-4,36845,OpenAI,Proprietary,not specified,https://x.com/OpenAI/status/1905331956856050135
4,2,GLM-4.5,1429,+6/-6,11222,Z.ai,MIT,not specified,https://z.ai/blog/glm-4.5
5,2,DeepSeek-R1-0528,1424,+5/-5,21281,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250528
6,2,Grok-3-Preview-02-24,1423,+4/-4,36935,xAI,Proprietary,not specified,https://x.ai/blog/grok-3
7,5,o3-2025-04-16,1420,+4/-4,41055,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/
8,6,GPT-4.5-Preview,1415,+5/-5,15271,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-gpt-4-5/
9,6,Qwen3-235B-A22B-Thinking-2507,1415,+6/-6,8888,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen3-235B-A22B-Thinking-2507
10,7,Qwen3-235B-A22B-Instruct-2507,1414,+5/-5,13168,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507
11,11,Gemini-2.5-Flash,1408,+4/-4,39067,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash
12,20,Qwen3-235B-A22B-no-thinking,1391,+4/-4,29735,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/
13,20,GLM-4.5-Air,1389,+6/-6,10200,Z.ai,MIT,not specified,https://z.ai/blog/glm-4.5
14,22,Qwen3-30B-A3B-Instruct-2507,1381,+6/-6,9190,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen3-30B-A3B-Instruct-2507
15,23,GPT-4.1-2025-04-14,1380,+4/-4,30640,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/
16,24,kimi-k2-0711-preview,1379,+5/-5,18734,Moonshot,Modified MIT,not specified,https://moonshotai.github.io/Kimi-K2/
17,25,DeepSeek-V3-0324,1376,+4/-4,33113,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250325
18,25,Hunyuan-Turbos-20250416,1376,+6/-6,11942,Tencent,Proprietary,not specified,https://cloud.tencent.com/document/product/1729/104753
19,25,DeepSeek-R1,1373,+4/-4,19430,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250120
20,25,Claude Opus 4 (thinking-16k),1371,+5/-5,23873,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4
21,26,Mistral Medium 3,1371,+4/-4,33556,Mistral,Proprietary,not specified,https://mistral.ai/news/mistral-medium-3
22,28,Qwen3-235B-A22B,1368,+4/-4,25764,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/
23,29,Qwen2.5-Max,1366,+3/-3,35377,Alibaba,Proprietary,not specified,https://qwenlm.github.io/blog/qwen2.5-max/
24,29,Grok-3-mini-high,1366,+5/-5,15656,xAI,Proprietary,not specified,https://docs.x.ai/docs/models
25,30,o1-2024-12-17,1365,+4/-4,29038,OpenAI,Proprietary,not specified,https://openai.com/index/o1-and-new-tools-for-developers/
26,30,Grok-3-Mini-beta,1364,+5/-5,22193,xAI,Proprietary,not specified,https://docs.x.ai/docs/models
27,32,Claude Opus 4 (20250514),1362,+4/-4,31957,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4
28,35,o4-mini-2025-04-16,1359,+4/-4,30207,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/
29,37,Gemma-3-27B-it,1358,+4/-4,37211,Google,Gemma,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it
30,37,Gemini-2.0-Flash-001,1358,+3/-3,43471,Google,Proprietary,not specified,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001
31,39,Qwen3-Coder-480B-A35B-Instruct,1354,+5/-5,11811,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3-coder/
32,41,o1-preview,1353,+4/-4,33177,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1
33,42,Minimax-M1,1349,+5/-5,22994,MiniMax,Apache 2.0,not specified,https://www.minimax.io/news/minimaxm1
34,45,Claude Sonnet 4 (thinking-32k),1347,+5/-5,23013,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4
35,45,Qwen3-32B,1342,+9/-9,4074,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/
36,48,GPT-4.1-mini-2025-04-14,1341,+4/-4,29904,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/
37,48,Mistral-Small-2506,1341,+5/-5,14920,Mistral,Apache 2.0,not specified,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506
38,48,Nvidia-Llama-3.3-Nemotron-Super-49B-v1.5,1338,+9/-9,3898,Nvidia,Nvidia Open,not specified,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1_5
39,49,o3-mini-high,1338,+5/-5,19404,OpenAI,Proprietary,not specified,https://platform.openai.com/docs/guides/reasoning#reasoning-effort
