rank,rank_stylectrl,model,openrouter_id,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,displayed_name,pricing_source,id,description,pricing.prompt,pricing.completion,pricing.image,pricing
1,1,Gemini-2.5-Pro,google/gemini-2.5-pro,1466,+4/-4,35586,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro,google/gemini-2.5-pro,openrouter,google/gemini-2.5-pro,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks. It employs “thinking” capabilities, enabling it to reason through responses with enhanced accuracy and nuanced context handling. Gemini 2.5 Pro achieves top-tier performance on multiple benchmarks, including first-place positioning on the LMArena leaderboard, reflecting superior human-preference alignment and complex problem-solving abilities.",1.25e-06,1e-05,0.00516,0.00517125
2,2,Grok-4-0709,x-ai/grok-4,1430,+5/-5,18320,xAI,Proprietary,not specified,https://docs.x.ai/docs/models/grok-4-0709,x-ai/grok-4,openrouter,x-ai/grok-4,"Grok 4 is xAI's latest reasoning model with a 256k context window. It supports parallel tool calling, structured outputs, and both image and text inputs. Note that reasoning is not exposed, reasoning cannot be disabled, and the reasoning effort cannot be specified. Pricing increases once the total tokens in a given request is greater than 128k tokens. See more details on the [xAI docs](https://docs.x.ai/docs/models/grok-4-0709)",3e-06,1.5e-05,0.0,1.8e-05
3,2,ChatGPT-4o-latest (2025-03-26),openai/chatgpt-4o-latest,1429,+4/-4,36845,OpenAI,Proprietary,not specified,https://x.com/OpenAI/status/1905331956856050135,openai/chatgpt-4o-latest,openrouter,openai/chatgpt-4o-latest,"OpenAI ChatGPT 4o is continually updated by OpenAI to point to the current version of GPT-4o used by ChatGPT. It therefore differs slightly from the API version of [GPT-4o](/models/openai/gpt-4o) in that it has additional RLHF. It is intended for research and evaluation.

OpenAI notes that this model is not suited for production use-cases as it may be removed or redirected to another model in the future.",5e-06,1.5e-05,0.007225,0.007245
4,2,GLM-4.5,,1429,+6/-6,11222,Z.ai,MIT,not specified,https://z.ai/blog/glm-4.5,GLM-4.5,free,,,,,,
5,2,DeepSeek-R1-0528,,1424,+5/-5,21281,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250528,DeepSeek-R1-0528,free,,,,,,
6,2,Grok-3-Preview-02-24,x-ai/grok-3,1423,+4/-4,36935,xAI,Proprietary,not specified,https://x.ai/blog/grok-3,x-ai/grok-3,openrouter,x-ai/grok-3,"Grok 3 is the latest model from xAI. It's their flagship model that excels at enterprise use cases like data extraction, coding, and text summarization. Possesses deep domain knowledge in finance, healthcare, law, and science.

",3e-06,1.5e-05,0.0,1.8e-05
7,5,o3-2025-04-16,openai/o3,1420,+4/-4,41055,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o3,openrouter,openai/o3,"o3 is a well-rounded and powerful model across domains. It sets a new standard for math, science, coding, and visual reasoning tasks. It also excels at technical writing and instruction-following. Use it to think through multi-step problems that involve analysis across text, code, and images. ",2e-06,8e-06,0.00153,0.00154
8,6,Qwen3-235B-A22B-Thinking-2507,,1415,+6/-6,8888,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen3-235B-A22B-Thinking-2507,Qwen3-235B-A22B-Thinking-2507,free,,,,,,
9,7,Qwen3-235B-A22B-Instruct-2507,,1414,+5/-5,13168,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,Qwen3-235B-A22B-Instruct-2507,free,,,,,,
10,11,Gemini-2.5-Flash,google/gemini-2.5-flash,1408,+4/-4,39067,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash,google/gemini-2.5-flash,openrouter,google/gemini-2.5-flash,"Gemini 2.5 Flash is Google's state-of-the-art workhorse model, specifically designed for advanced reasoning, coding, mathematics, and scientific tasks. It includes built-in ""thinking"" capabilities, enabling it to provide responses with greater accuracy and nuanced context handling. 

Additionally, Gemini 2.5 Flash is configurable through the ""max tokens for reasoning"" parameter, as described in the documentation (https://openrouter.ai/docs/use-cases/reasoning-tokens#max-tokens-for-reasoning).",3e-07,2.5e-06,0.001238,0.0012408
11,20,Qwen3-235B-A22B-no-thinking,,1391,+4/-4,29735,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/,Qwen3-235B-A22B-no-thinking,free,,,,,,
12,20,GLM-4.5-Air,,1389,+6/-6,10200,Z.ai,MIT,not specified,https://z.ai/blog/glm-4.5,GLM-4.5-Air,free,,,,,,
13,22,Qwen3-30B-A3B-Instruct-2507,,1381,+6/-6,9190,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen3-30B-A3B-Instruct-2507,free,,,,,,
14,23,GPT-4.1-2025-04-14,openai/gpt-4.1,1380,+4/-4,30640,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1,openrouter,openai/gpt-4.1,"GPT-4.1 is a flagship large language model optimized for advanced instruction following, real-world software engineering, and long-context reasoning. It supports a 1 million token context window and outperforms GPT-4o and GPT-4.5 across coding (54.6% SWE-bench Verified), instruction compliance (87.4% IFEval), and multimodal understanding benchmarks. It is tuned for precise code diffs, agent reliability, and high recall in large document contexts, making it ideal for agents, IDE tooling, and enterprise knowledge retrieval.",2e-06,8e-06,0.0,9.999999999999999e-06
15,24,kimi-k2-0711-preview,,1379,+5/-5,18734,Moonshot,Modified MIT,not specified,https://moonshotai.github.io/Kimi-K2/,kimi-k2-0711-preview,free,,,,,,
16,25,DeepSeek-V3-0324,,1376,+4/-4,33113,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250325,DeepSeek-V3-0324,free,,,,,,
17,25,Hunyuan-Turbos-20250416,tencent/hunyuan-a13b-instruct,1376,+6/-6,11942,Tencent,Proprietary,not specified,https://cloud.tencent.com/document/product/1729/104753,tencent/hunyuan-a13b-instruct,openrouter,tencent/hunyuan-a13b-instruct,"Hunyuan-A13B is a 13B active parameter Mixture-of-Experts (MoE) language model developed by Tencent, with a total parameter count of 80B and support for reasoning via Chain-of-Thought. It offers competitive benchmark performance across mathematics, science, coding, and multi-turn reasoning tasks, while maintaining high inference efficiency via Grouped Query Attention (GQA) and quantization support (FP8, GPTQ, etc.).",3e-08,3e-08,0.0,6e-08
18,25,DeepSeek-R1,,1373,+4/-4,19430,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250120,DeepSeek-R1,free,,,,,,
