rank,model,openrouter_id,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,displayed_name,pricing_source,id,description,pricing.prompt,pricing.completion,pricing.image,pricing
1,Gemini-2.5-Pro,google/gemini-2.5-pro,1320,+8/-8,14996,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro,google/gemini-2.5-pro,openrouter,google/gemini-2.5-pro,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks. It employs “thinking” capabilities, enabling it to reason through responses with enhanced accuracy and nuanced context handling. Gemini 2.5 Pro achieves top-tier performance on multiple benchmarks, including first-place positioning on the LMArena leaderboard, reflecting superior human-preference alignment and complex problem-solving abilities.",1.25e-06,1e-05,0.00516,0.00517125
2,ChatGPT-4o-latest (2025-03-26),openai/chatgpt-4o-latest,1292,+7/-7,12154,OpenAI,Proprietary,not specified,https://x.com/OpenAI/status/1905331956856050135,openai/chatgpt-4o-latest,openrouter,openai/chatgpt-4o-latest,"OpenAI ChatGPT 4o is continually updated by OpenAI to point to the current version of GPT-4o used by ChatGPT. It therefore differs slightly from the API version of [GPT-4o](/models/openai/gpt-4o) in that it has additional RLHF. It is intended for research and evaluation.

OpenAI notes that this model is not suited for production use-cases as it may be removed or redirected to another model in the future.",5e-06,1.5e-05,0.007225,0.007245
3,Gemini-2.5-Flash,google/gemini-2.5-flash,1282,+8/-8,11584,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash,google/gemini-2.5-flash,openrouter,google/gemini-2.5-flash,"Gemini 2.5 Flash is Google's state-of-the-art workhorse model, specifically designed for advanced reasoning, coding, mathematics, and scientific tasks. It includes built-in ""thinking"" capabilities, enabling it to provide responses with greater accuracy and nuanced context handling. 

Additionally, Gemini 2.5 Flash is configurable through the ""max tokens for reasoning"" parameter, as described in the documentation (https://openrouter.ai/docs/use-cases/reasoning-tokens#max-tokens-for-reasoning).",3e-07,2.5e-06,0.001238,0.0012408
4,Grok-4-0709,x-ai/grok-4,1269,+10/-10,6748,xAI,Proprietary,not specified,https://docs.x.ai/docs/models/grok-4-0709,x-ai/grok-4,openrouter,x-ai/grok-4,"Grok 4 is xAI's latest reasoning model with a 256k context window. It supports parallel tool calling, structured outputs, and both image and text inputs. Note that reasoning is not exposed, reasoning cannot be disabled, and the reasoning effort cannot be specified. Pricing increases once the total tokens in a given request is greater than 128k tokens. See more details on the [xAI docs](https://docs.x.ai/docs/models/grok-4-0709)",3e-06,1.5e-05,0.0,1.8e-05
5,o3-2025-04-16,openai/o3,1268,+8/-8,14983,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o3,openrouter,openai/o3,"o3 is a well-rounded and powerful model across domains. It sets a new standard for math, science, coding, and visual reasoning tasks. It also excels at technical writing and instruction-following. Use it to think through multi-step problems that involve analysis across text, code, and images. ",2e-06,8e-06,0.00153,0.00154
6,GPT-4.1-2025-04-14,openai/gpt-4.1,1258,+8/-8,10640,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1,openrouter,openai/gpt-4.1,"GPT-4.1 is a flagship large language model optimized for advanced instruction following, real-world software engineering, and long-context reasoning. It supports a 1 million token context window and outperforms GPT-4o and GPT-4.5 across coding (54.6% SWE-bench Verified), instruction compliance (87.4% IFEval), and multimodal understanding benchmarks. It is tuned for precise code diffs, agent reliability, and high recall in large document contexts, making it ideal for agents, IDE tooling, and enterprise knowledge retrieval.",2e-06,8e-06,0.0,9.999999999999999e-06
7,o4-mini-2025-04-16,openai/o4-mini,1241,+9/-9,10051,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o4-mini,openrouter,openai/o4-mini,"OpenAI o4-mini is a compact reasoning model in the o-series, optimized for fast, cost-efficient performance while retaining strong multimodal and agentic capabilities. It supports tool use and demonstrates competitive reasoning and coding performance across benchmarks like AIME (99.5% with Python) and SWE-bench, outperforming its predecessor o3-mini and even approaching o3 in some domains.

Despite its smaller size, o4-mini exhibits high accuracy in STEM tasks, visual problem solving (e.g., MathVista, MMMU), and code editing. It is especially well-suited for high-throughput scenarios where latency or cost is critical. Thanks to its efficient architecture and refined reinforcement learning training, o4-mini can chain tools, generate structured outputs, and solve multi-step tasks with minimal delay—often in under a minute.",1.1e-06,4.4e-06,0.0008415,0.000847
8,Claude Sonnet 4 (thinking-32k),anthropic/claude-sonnet-4,1238,+15/-15,1308,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-sonnet-4,openrouter,anthropic/claude-sonnet-4,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in both coding and reasoning tasks with improved precision and controllability. Achieving state-of-the-art performance on SWE-bench (72.7%), Sonnet 4 balances capability and computational efficiency, making it suitable for a broad range of applications from routine coding tasks to complex software development projects. Key enhancements include improved autonomous codebase navigation, reduced error rates in agent-driven workflows, and increased reliability in following intricate instructions. Sonnet 4 is optimized for practical everyday use, providing advanced reasoning capabilities while maintaining efficiency and responsiveness in diverse internal and external scenarios.

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",3e-06,1.5e-05,0.0048,0.004817999999999999
9,Claude Opus 4 (thinking-16k),anthropic/claude-opus-4,1237,+15/-15,1421,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-opus-4,openrouter,anthropic/claude-opus-4,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustained performance on complex, long-running tasks and agent workflows. It sets new benchmarks in software engineering, achieving leading results on SWE-bench (72.5%) and Terminal-bench (43.2%). Opus 4 supports extended, agentic workflows, handling thousands of task steps continuously for hours without degradation. 

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",1.5e-05,7.5e-05,0.024,0.02409
10,GPT-4.1-mini-2025-04-14,openai/gpt-4.1-mini,1227,+8/-8,10649,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1-mini,openrouter,openai/gpt-4.1-mini,"GPT-4.1 Mini is a mid-sized model delivering performance competitive with GPT-4o at substantially lower latency and cost. It retains a 1 million token context window and scores 45.1% on hard instruction evals, 35.8% on MultiChallenge, and 84.1% on IFEval. Mini also shows strong coding ability (e.g., 31.6% on Aider’s polyglot diff benchmark) and vision understanding, making it suitable for interactive applications with tight performance constraints.",4e-07,1.6e-06,0.0,2e-06
11,Claude Opus 4 (20250514),anthropic/claude-opus-4.1,1222,+12/-12,2541,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-opus-4.1,openrouter,anthropic/claude-opus-4.1,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering improved performance in coding, reasoning, and agentic tasks. It achieves 74.5% on SWE-bench Verified and shows notable gains in multi-file code refactoring, debugging precision, and detail-oriented reasoning. The model supports extended thinking up to 64K tokens and is optimized for tasks involving research, data analysis, and tool-assisted reasoning.",1.5e-05,7.5e-05,0.024,0.02409
