rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
1,3,Gemini-2.5-Pro,1404,+11/-11,7424,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro
2,4,GLM-4.5-Air,1370,+18/-18,1425,Z.ai,MIT,not specified,https://z.ai/blog/glm-4.5
3,4,GLM-4.5,1370,+17/-17,1610,Z.ai,MIT,not specified,https://z.ai/blog/glm-4.5
4,6,Claude 3.7 Sonnet,1357,+12/-12,7460,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-3-7-sonnet
5,13,Gemini-2.5-Flash,1291,+9/-9,8082,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash
6,15,GPT-4.1-2025-04-14,1250,+7/-7,11339,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/
7,16,Claude 3.5 Sonnet (20241022),1230,+7/-7,26267,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use
8,17,DeepSeek-R1,1198,+15/-15,3755,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250120
9,17,DeepSeek-V3-0324,1196,+21/-21,1094,DeepSeek,MIT,not specified,https://api-docs.deepseek.com/news/news250325
10,17,GPT-4.1-mini-2025-04-14,1190,+8/-8,9064,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/
11,17,Qwen3-235B-A22B,1186,+10/-10,5600,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/
12,17,o3-2025-04-16,1185,+9/-9,5572,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/
13,17,Mistral Medium 3,1175,+9/-9,7511,Mistral,Proprietary,not specified,https://mistral.ai/news/mistral-medium-3
14,18,Grok-4-0709,1171,+10/-10,7067,xAI,Proprietary,not specified,https://docs.x.ai/docs/models/grok-4-0709
15,24,Grok-3-Preview-02-24,1136,+10/-10,5764,xAI,Proprietary,not specified,https://x.ai/blog/grok-3
16,24,Claude 3.5 Haiku (20241022),1132,+6/-6,22213,Anthropic,Propretary,not specified,https://www.anthropic.com/news/3-5-models-and-computer-use
17,24,Minimax-M1,1128,+13/-13,3361,MiniMax,Apache 2.0,not specified,https://www.minimax.io/news/minimaxm1
18,26,o4-mini-2025-04-16,1113,+9/-9,8850,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/
19,31,o1-2024-12-17,1040,+10/-10,9235,OpenAI,Proprietary,not specified,https://openai.com/index/o1-and-new-tools-for-developers/
20,31,Llama-4-Maverick-17B-128E-Instruct,1035,+11/-11,5474,Meta,Llama 4,not specified,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct
21,35,DeepSeek-V3,969,+12/-12,7699,DeepSeek,DeepSeek,not specified,https://huggingface.co/deepseek-ai/DeepSeek-V3
22,38,Gemini-1.5-Pro-002,904,+10/-10,15159,Google,Proprietary,not specified,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-pro-002
23,38,Llama-4-Scout-17B-16E-Instruct,902,+27/-27,687,Meta,Llama,not specified,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct
